name,category,description,auth,selfServe,selfServeDetail,apiSurface_rest,apiSurface_graphql,apiSurface_webhooks,apiSurface_sdks,apiSurface_breadth,apiSurface_docsPublic,mcp_official,mcp_community,mcp_notes,buildability,blocker,evidence,confidenceScore,verificationStatus,notes
Zendesk,Support & Helpdesk,Category-defining ticketing/helpdesk platform with a huge public API surface.,"OAuth2, API Token (Basic auth)",freemium_signup,Free trial account; API token generated instantly in Admin Center.,True,False,True,"Node, Python, Ruby",broad,True,True,True,Zendesk has previewed an official MCP server for its API.,Easy,,https://developer.zendesk.com/api-reference/,95,agent_verified,
Intercom,Support & Helpdesk,"Customer messaging platform combining support inbox, chat, and AI agent (Fin).","OAuth2, Access Token",freemium_signup,Free trial account; personal access token generated instantly under Settings > Developer.,True,False,True,"Node, Ruby, Python",broad,True,True,True,Intercom publishes an official MCP server.,Easy,,https://developers.intercom.com/docs/references/rest-api/,93,agent_verified,
Freshdesk,Support & Helpdesk,"Freshworks helpdesk/ticketing product, SMB-focused alternative to Zendesk.",API Key (Basic auth),freemium_signup,Free trial account; API key visible instantly under profile settings.,True,False,True,,broad,True,False,True,No official MCP; community connectors exist.,Easy,,https://developers.freshdesk.com/api/,90,agent_verified,
Front,Support & Helpdesk,Shared inbox / collaborative email platform for support and account teams.,"OAuth2, API Token",freemium_signup,"Trial account; API token generated in Settings > Developers, self-serve.",True,False,True,,medium,True,False,False,No MCP server found.,Easy,,https://dev.frontapp.com/docs/welcome,85,agent_verified,
Pylon,Support & Helpdesk,"Modern B2B support platform unifying Slack, Teams, and Discord-based customer support.",Bearer Token,admin_approval_required,"Free/paid workspace signup required, but API tokens can only be created by workspace Admin users -- an internal approval step, not a sales gate.",True,False,True,,broad,True,True,False,Pylon documents an official 'Pylon MCP' entry in its developer nav.,Easy,,https://docs.usepylon.com/pylon-docs/developer/api,95,human_verified,"Live-checked during verification sample: confirmed Bearer auth, admin-only token creation, per-endpoint rate limits, and an official MCP entry in the docs nav."
LiveAgent,Support & Helpdesk,"Multi-channel helpdesk (email, chat, call center, social) aimed at SMBs.",API Key,freemium_signup,Free trial; API key generated instantly in Configuration > System > API.,True,False,False,,medium,True,False,False,No MCP server found.,Easy,,https://www.liveagent.com/support/api/,80,agent_verified,
Plain,Support & Helpdesk,"Developer-first, API-native support tool built around Slack-based support workflows.",API Key (Bearer),freemium_signup,Self-serve account signup; API key generated instantly in workspace settings. Product is explicitly API/GraphQL-first.,False,True,True,Node/TS,medium,True,False,False,No MCP server found.,Easy,,https://www.plain.com/docs/api-reference/graph-ql-api,82,agent_verified,GraphQL-only API -- one of the few in the set with no REST surface at all.
Help Scout,Support & Helpdesk,Lightweight shared-inbox helpdesk favored by small support teams.,OAuth2,freemium_signup,Free trial account; OAuth2 app created instantly in My Apps developer console.,True,False,True,"PHP, Node",medium,True,False,False,No MCP server found.,Easy,,https://developer.helpscout.com/mailbox-api/,85,agent_verified,
Gorgias,Support & Helpdesk,Helpdesk built specifically for ecommerce (deep Shopify/BigCommerce integration).,"OAuth2, Basic Auth (API key)",freemium_signup,"Free trial account; Basic-auth API keys self-generated, OAuth2 required only for public marketplace apps.",True,False,True,,medium,True,False,False,No MCP server found.,Easy,,https://developers.gorgias.com/,82,agent_verified,
Gladly,Support & Helpdesk,"Enterprise, customer-centric (not ticket-centric) support platform.",Basic Auth (API key + secret),paid_plan_required,"No free tier; API access ships with paid contracts, and credentials are issued during onboarding by Gladly, not via public self-signup.",True,False,True,,medium,True,False,False,No MCP server found.,Medium,No free/trial tier for independent API testing; requires an active paid contract to obtain credentials.,https://developer.gladly.com/rest/,65,agent_verified,
Slack,Communications & Messaging,The default team-chat platform and one of the richest bot/app platforms in the industry.,"OAuth2, Bot Token",open,"Free workspace + free developer app creation at api.slack.com/apps, zero approval for personal/internal use.",True,False,True,"Python, Node, Java",broad,True,True,True,Slack has an official MCP server in preview alongside many community ones.,Easy,,https://api.slack.com/docs,97,agent_verified,
Twilio,Communications & Messaging,"Programmable SMS/voice/video communications infrastructure, the archetype API-first company.","API Key + Secret, Basic Auth (Account SID + Auth Token)",open,Free trial account with test credentials issued instantly on signup; full self-serve console.,True,False,True,every major language,broad,True,True,True,Twilio publishes an official Alpha MCP server.,Easy,,https://www.twilio.com/docs/usage/api,97,agent_verified,
Zoho Cliq,Communications & Messaging,"Team chat product inside the Zoho suite, with a bots/webhooks platform.",OAuth2,freemium_signup,Free Zoho account; OAuth client created self-serve in Zoho API Console; incoming webhooks configurable without any approval.,True,False,True,,medium,True,False,False,No MCP server found.,Easy,,https://www.zoho.com/cliq/help/restapi/v2/,78,agent_verified,
Lark (Larksuite),Communications & Messaging,"ByteDance's all-in-one workspace suite (chat, docs, calendar) with a dedicated Open Platform.","OAuth2, App Access Token / Tenant Access Token",freemium_signup,"Free developer account on the Open Platform; app credentials self-issued instantly, no partner approval for internal/self-built apps.",True,False,True,"Python, Node, Go, Java",broad,True,False,True,No confirmed official MCP; community MCP servers wrap Lark's Open Platform APIs.,Easy,,https://open.larksuite.com/document,80,agent_verified,
Pumble,Communications & Messaging,Free-forever team chat app positioned as a Slack alternative for SMBs.,Webhooks (incoming),gated_unclear,"Pumble documents incoming webhooks for posting messages, but no general-purpose public REST API for reading/managing workspace data was found.",False,False,True,,narrow,True,False,False,No MCP server found.,Hard,No documented general REST/GraphQL API for agent-style read/write access -- only one-directional incoming webhooks were confirmed.,https://pumble.com/help/integrations/incoming-webhooks/,55,flagged,
Discord,Communications & Messaging,Community/gaming-native chat platform with a very large bot ecosystem.,"OAuth2, Bot Token",open,"Free Developer Portal signup; bot tokens issued instantly, no approval for standard bot scopes.",True,False,True,"Node (discord.js), Python (discord.py)",broad,True,False,True,No official MCP; multiple community MCP servers exist.,Easy,,https://discord.com/developers/docs/intro,95,agent_verified,
Telegram,Communications & Messaging,Messaging app whose Bot API is one of the most agent-friendly integrations available.,Bot Token,open,Bot token issued instantly via @BotFather in the app itself -- no developer account or approval of any kind.,True,False,True,every major language,broad,True,False,True,Many community MCP servers wrap the Bot API.,Easy,,https://core.telegram.org/bots/api,97,agent_verified,
WhatsApp Business,Communications & Messaging,"Meta's business messaging API for WhatsApp, delivered via Cloud API or BSP partners.",OAuth2 (Meta system user tokens),admin_approval_required,"Free Meta developer account and Cloud API test number are self-serve, but production sending requires Meta Business verification and phone number registration -- an approval gate, not a partnership.",True,False,True,,medium,True,False,True,No official MCP; community servers exist.,Medium,"Production access requires Meta Business Verification, a manual review that can take days and reject applicants.",https://developers.facebook.com/docs/whatsapp/cloud-api/get-started,85,agent_verified,
Aircall,Communications & Messaging,Cloud call-center/VoIP platform for sales and support teams.,"OAuth2, Basic Auth (API ID + Token)",freemium_signup,Free trial account; Basic auth API credentials self-generated in Integrations > API Keys.,True,False,True,,medium,True,False,False,No MCP server found.,Easy,,https://developer.aircall.io/api-references/,82,agent_verified,
Vonage,Communications & Messaging,"Communications APIs (SMS, voice, video) similar in spirit to Twilio.","API Key + Secret, JWT (for Voice/Video)",open,Free developer account with trial credit; keys issued instantly on signup.,True,False,True,every major language,broad,True,False,True,No official MCP confirmed; community servers exist.,Easy,,https://developer.vonage.com/en/getting-started/overview,90,agent_verified,
Google Ads,"Marketing, Ads & Social",Google's advertising platform API for managing campaigns programmatically.,OAuth2,admin_approval_required,"Free Google Cloud + Ads account, but a Developer Token requires Google's manual approval (basic access is fast; 'Standard' access for production scale needs a review).",True,False,False,"Java, Python, PHP, .NET",broad,True,False,True,No official MCP; community MCP servers wrap the Google Ads API.,Medium,Developer Token approval step and strict use-case review for production-level access.,https://developers.google.com/google-ads/api/docs/start,88,agent_verified,
Meta Ads,"Marketing, Ads & Social",Meta's Marketing API for managing Facebook/Instagram ad campaigns.,OAuth2,admin_approval_required,"Free developer account and sandbox access are self-serve, but standard access to marketing permissions requires Meta App Review.",True,False,True,"Python, PHP, Node",broad,True,False,True,No official MCP; community wrappers exist.,Medium,Meta App Review is required for the advertising permissions and can take 1-2+ weeks.,https://developers.facebook.com/docs/marketing-apis/get-started,88,agent_verified,
LinkedIn Ads,"Marketing, Ads & Social",LinkedIn's Marketing Developer Platform for managing campaigns and audiences.,OAuth2,partnership_required,"Requires applying to and being approved for the LinkedIn Marketing Developer Program before any API access is granted -- a formal partner application, not just app review.",True,False,False,,medium,True,False,False,No MCP server found.,Hard,Marketing Developer Program partner approval is required before any credentials are issued; historically slow and selective.,https://learn.microsoft.com/en-us/linkedin/marketing/getting-started,82,agent_verified,
GoHighLevel,"Marketing, Ads & Social","All-in-one sales/marketing platform (CRM, funnels, automations) for agencies.",OAuth2,freemium_signup,"Free trial sub-account; OAuth2 app self-registered in the Marketplace developer console for private/internal use, no approval required unless publishing publicly.",True,False,True,,broad,True,False,True,No official MCP; community servers exist given HighLevel's popularity with agencies.,Easy,,https://highlevel.stoplight.io/docs/integrations/,80,agent_verified,
Mailchimp,"Marketing, Ads & Social","Email marketing/automation platform, one of the most widely integrated marketing tools.","OAuth2, API Key (Basic auth)",freemium_signup,Free-tier account; API key self-generated instantly in Account > Extras > API keys.,True,False,True,"Python, Node, PHP",broad,True,False,True,No official MCP; community servers wrap Marketing API.,Easy,,https://mailchimp.com/developer/marketing/api/,93,agent_verified,
Klaviyo,"Marketing, Ads & Social",Ecommerce-focused email/SMS marketing automation platform.,"API Key (Bearer), OAuth2 (for public apps)",freemium_signup,Free-tier account; private API key generated instantly in Settings > API Keys.,True,False,True,"Node, Python",broad,True,True,True,Klaviyo has published an official MCP server.,Easy,,https://developers.klaviyo.com/en/reference/api_overview,90,agent_verified,
systeme.io,"Marketing, Ads & Social",All-in-one funnel builder / course platform / email marketing tool for solo creators.,API Key,freemium_signup,Free-tier account; API key self-generated in Settings > Public API.,True,False,True,,narrow-medium,True,False,False,No MCP server found.,Easy,,https://developer.systeme.io/,75,agent_verified,
Pinterest,"Marketing, Ads & Social",Visual discovery/social platform with an API for content and advertising.,OAuth2,freemium_signup,"Free developer account; standard-access API app self-registered with no manual approval, though some scopes need app review.",True,False,True,,medium,True,False,False,No MCP server found.,Easy,,https://developers.pinterest.com/docs/getting-started/introduction/,84,agent_verified,
Threads (Meta),"Marketing, Ads & Social",Meta's text-based social app; the Threads API allows posting and basic insights.,OAuth2,admin_approval_required,"Free developer account and basic self-testing access are available, but public/production use requires Meta App Review for Threads scopes.",True,False,True,,narrow-medium,True,False,False,No MCP server found.,Medium,Meta App Review gate for production Threads permissions.,https://developers.facebook.com/docs/threads,80,agent_verified,
SendGrid,"Marketing, Ads & Social",Transactional and marketing email delivery API (Twilio-owned).,API Key (Bearer),freemium_signup,Free-tier account (100 emails/day); API key self-generated instantly.,True,False,True,every major language,broad,True,False,True,No official MCP; community servers exist.,Easy,,https://www.twilio.com/docs/sendgrid/api-reference/how-to-use-the-sendgrid-v3-api/authentication,90,agent_verified,
Shopify,Ecommerce,"The dominant ecommerce platform, with one of the most mature app/API ecosystems in SaaS.","OAuth2, Admin API access token (custom apps)",freemium_signup,Free Partner account + free dev store; custom app access token generated instantly for private/internal integrations.,True,True,True,every major language,broad,True,True,True,Shopify ships an official Storefront/Admin MCP server.,Easy,,https://shopify.dev/docs/api,97,agent_verified,
WooCommerce,Ecommerce,"Open-source WordPress ecommerce plugin, self-hosted, with a REST API.","API Key + Secret (OAuth1.0a over HTTP, Basic over HTTPS)",open,Fully self-hosted/open-source; keys generated directly in the WordPress admin with zero external approval.,True,False,True,"PHP, Node, Python",broad,True,False,True,Community MCP servers exist wrapping the REST API.,Easy,,https://woocommerce.github.io/woocommerce-rest-api-docs/,92,agent_verified,
BigCommerce,Ecommerce,"Headless-friendly, enterprise-capable ecommerce SaaS platform.",OAuth2 (API accounts),freemium_signup,Free trial store; API account (client ID/secret/token) self-generated instantly in the store admin.,True,True,True,"Node, PHP",broad,True,False,True,No official MCP; community wrappers exist.,Easy,,https://developer.bigcommerce.com/docs/rest-management,90,agent_verified,
Salesforce Commerce Cloud,Ecommerce,Enterprise ecommerce platform (formerly Demandware) inside the Salesforce family.,OAuth2 (Account Manager),contact_sales_only,No public self-signup sandbox for the full commerce stack; access is provisioned as part of an enterprise Salesforce Commerce contract.,True,False,True,,broad,True,False,False,No MCP server found.,Hard,Enterprise-only provisioning; no free/self-serve sandbox for independent testing.,https://developer.salesforce.com/docs/commerce/b2c-commerce/overview,70,agent_verified,
Magento (Adobe Commerce),Ecommerce,Open-source (Magento Open Source) and enterprise (Adobe Commerce) ecommerce platform.,OAuth1.0a / Admin token (Bearer),open,Magento Open Source is free and self-hosted; admin token self-generated with zero external approval. Adobe Commerce (paid tier) is contact-sales.,True,True,False,PHP,broad,True,False,False,No MCP server found.,Easy,,https://developer.adobe.com/commerce/webapi/rest/,85,agent_verified,Split verdict by tier: Open Source edition is Easy/self-serve; Adobe Commerce enterprise edition is Hard/contact-sales.
Squarespace,Ecommerce,Website/ecommerce builder aimed at creators and small businesses.,"OAuth2 (Squarespace Extensions), API Key (Commerce APIs)",freemium_signup,Free trial site; Commerce API keys self-generated in Settings > Advanced > API Keys.,True,False,True,,narrow-medium,True,False,False,No MCP server found.,Easy,,https://developers.squarespace.com/commerce-apis/overview,80,agent_verified,
Ecwid,Ecommerce,"Lightweight, embeddable ecommerce storefront (part of Lightspeed).","OAuth2, Legacy static token",freemium_signup,Free-tier store; token self-issued instantly through the app's OAuth flow in the Ecwid Control Panel.,True,False,True,,medium,True,False,False,No MCP server found.,Easy,,https://api-docs.ecwid.com/reference/introduction,82,agent_verified,
Gumroad,Ecommerce,Simple storefront for creators selling digital products.,"OAuth2, Access Token",open,"Free account; access token self-generated instantly under Settings > Advanced, no approval.",True,False,True,,narrow-medium,True,False,False,No MCP server found.,Easy,,https://app.gumroad.com/api,85,agent_verified,
Amazon Selling Partner API,Ecommerce,"API for Amazon marketplace sellers to manage orders, listings, and fulfillment.",OAuth2 (LWA) + AWS SigV4 request signing,admin_approval_required,"Requires an active, approved Amazon Seller/Vendor account plus Developer registration and per-role authorization; not gated behind a partnership, but has real onboarding friction (identity verification, role-based approval for restricted operations).",True,False,True,"Java, Python, Node, PHP, Ruby",broad,True,False,True,No official MCP; community servers exist.,Medium,Requires an active Amazon seller account and role-based data-access approval (e.g. restricted PII operations need extra sign-off).,https://developer-docs.amazon.com/sp-api/docs/sp-api-overview,82,agent_verified,
fanbasis,Ecommerce,Payments/checkout infrastructure ('merchant of record') for creators and digital-product sellers.,API Key (x-api-key header),freemium_signup,"Self-serve dashboard signup; API key generated instantly under Account > API Keys, full sandbox environment available.",True,False,True,"Node, Python, PHP, Ruby",medium,True,False,False,No MCP server found.,Easy,,https://apidocs.fan/,88,human_verified,"Live-checked during verification sample: confirmed self-serve API key from dashboard, REST + webhooks, official SDKs, sandbox mode."
DataForSEO,"Data, SEO & Scraping",SEO/SERP/keyword data API aimed squarely at developers and agencies.,Basic Auth (login + password),open,"Free account signup with pay-as-you-go credits; credentials available immediately, no approval.",True,False,False,"Python, PHP, Node",broad,True,True,False,DataForSEO publishes an official MCP server.,Easy,,https://docs.dataforseo.com/v3/,90,agent_verified,
SE Ranking,"Data, SEO & Scraping",SEO/rank-tracking SaaS with a paid API add-on.,API Key (Bearer),paid_plan_required,"API access is an add-on module that must be enabled on a paid plan; key is self-generated once enabled, no manual approval beyond payment.",True,False,False,,medium,True,False,False,No MCP server found.,Medium,"API is a paid add-on, not available on the free tier -- no way to obtain a free-tier key for testing.",https://seranking.com/api.html,75,agent_verified,
Ahrefs,"Data, SEO & Scraping",Leading backlink/SEO research tool with a metered API.,API Key (Bearer),paid_plan_required,API access requires an active paid Ahrefs subscription with API credits; no free-tier key issuance.,True,False,False,,medium,True,False,False,No MCP server found.,Medium,No free tier; a paid Ahrefs plan is required before any API key can be issued.,https://ahrefs.com/api/documentation,78,agent_verified,
MrScraper,"Data, SEO & Scraping",Managed web-scraping API (proxy + headless rendering) for developers.,API Key,freemium_signup,Free-tier signup with limited credits; API key generated instantly.,True,False,False,,narrow-medium,True,False,False,No MCP server found.,Easy,,https://docs.mrscraper.com/,65,agent_verified,"Smaller/newer product; docs are thinner than category leaders, confidence kept moderate."
Apify,"Data, SEO & Scraping",Web-scraping/automation platform built around a marketplace of 'Actors' (serverless scrapers).,"API Token (Bearer), OAuth2 (limited)",freemium_signup,Free tier with monthly credits; API token generated instantly in Settings > Integrations.,True,False,True,"Python, JS/TS",broad,True,True,True,Apify ships an official MCP server exposing Actors as tools.,Easy,,https://docs.apify.com/api/v2,92,agent_verified,
Firecrawl,"Data, SEO & Scraping",LLM-ready web scraping/crawling API purpose-built for feeding AI agents and RAG pipelines.,API Key (Bearer),freemium_signup,Free-tier signup with starter credits; API key generated instantly on signup.,True,False,True,"Python, Node",medium,True,True,True,Firecrawl publishes an official MCP server -- itself part of the standard agentic-research toolchain.,Easy,,https://docs.firecrawl.dev/introduction,93,agent_verified,
Bright Data,"Data, SEO & Scraping",Enterprise proxy network and web-data collection platform.,"API Key (Bearer), Zone credentials (username/password for proxies)",freemium_signup,Free trial credit on signup; API key and proxy zone credentials self-generated instantly in the control panel.,True,False,True,"Python, Node",broad,True,True,False,Bright Data publishes an official MCP server for its Web Unlocker/SERP APIs.,Easy,,https://docs.brightdata.com/api-reference/introduction,88,agent_verified,
Sherlock,"Data, SEO & Scraping",Open-source CLI tool that hunts for usernames across social networks (OSINT).,None (local CLI tool),open,Not a hosted SaaS/API at all -- it's an installable Python CLI/library; 'access' just means installing the package.,False,False,False,Python (CLI/library),narrow (single-purpose),True,False,True,Community MCP wrappers exist that expose Sherlock as an agent tool.,Medium,"Not a hosted API/toolkit-native integration; would need to be wrapped as a subprocess/CLI-invoking tool rather than called over HTTP, and its scraping approach is fragile against target-site changes.",https://github.com/sherlock-project/sherlock,90,agent_verified,"Structurally different from every other row: a CLI tool, not a SaaS API."
Waterfall.io,"Data, SEO & Scraping",B2B contact/company data enrichment API aggregating 30+ underlying data vendors.,API Key (x-api-key header),partnership_required,"Usage API takes a self-serve API key with no long-term contract required, but Waterfall states publicly it is 'very selective' about partnering with platforms that want to build products on top of its data -- so building a general-purpose toolkit integration (vs. a single internal workflow) requires their approval.",True,False,False,,narrow (single enrichment endpoint family),True,False,False,No MCP server found.,Medium,"Company explicitly gates platform/reseller-style API use behind a selective partnership review, even though direct usage is API-key self-serve.",https://www.waterfall.io/book-a-call,80,human_verified,"Live-checked during verification sample: confirmed API-key auth and no-contract usage, but also found the explicit partnership-gate language for platform builders on their own site FAQ."
Clay,"Data, SEO & Scraping",Data enrichment/GTM automation workspace that orchestrates 100+ underlying data providers.,"API Key, Webhooks (incoming, for Clay 'HTTP API' tables)",freemium_signup,Free-tier workspace signup with limited credits; Clay's own API/webhook tables are usable immediately from the workspace.,True,False,True,,medium,True,False,True,No official MCP; Clay is more often the *consumer* of other tools' MCP servers than a provider.,Easy,,https://clay.com/university/lesson/clay-api,78,agent_verified,
GitHub,Developer & Infra,"The default code-hosting/collaboration platform, with a deep REST + GraphQL API.","OAuth2, Personal Access Token, GitHub App (JWT)",open,"Free account; PAT generated instantly in Settings > Developer Settings, zero approval.",True,True,True,every major language,broad,True,True,True,"GitHub publishes an official, widely-used MCP server.",Easy,,https://docs.github.com/en/rest,98,agent_verified,
Vercel,Developer & Infra,Frontend cloud/deployment platform for Next.js and other frameworks.,"Bearer Token (Access Token), OAuth2 (Integrations)",open,Free Hobby account; Access Token self-generated instantly in Account Settings > Tokens.,True,False,True,Node,broad,True,True,True,Vercel publishes an official MCP server.,Easy,,https://vercel.com/docs/rest-api,95,agent_verified,
Netlify,Developer & Infra,"Static site hosting/deployment platform, direct Vercel competitor.","OAuth2, Personal Access Token",open,Free tier; PAT self-generated instantly in User Settings > Applications.,True,False,True,Node,broad,True,False,True,No official MCP confirmed; community servers exist.,Easy,,https://docs.netlify.com/api/get-started/,90,agent_verified,
Cloudflare,Developer & Infra,"CDN/security/edge-compute platform (DNS, Workers, Zero Trust, etc.).","API Token (Bearer), OAuth2 (limited)",open,Free tier; scoped API Tokens self-generated instantly in the dashboard.,True,True,True,every major language,broad,True,True,True,"Cloudflare publishes official MCP servers (Workers, Docs, etc.).",Easy,,https://developers.cloudflare.com/api/,96,agent_verified,
Supabase,Developer & Infra,"Open-source Firebase alternative: Postgres, auth, storage, and edge functions as a managed platform.","API Key (anon/service_role), OAuth2 (management API)",open,Free-tier project self-created instantly; API keys visible immediately in project settings.,True,True,True,"JS, Python, Dart, Swift",broad,True,True,True,Supabase publishes an official MCP server for its management API.,Easy,,https://supabase.com/docs/guides/api,95,agent_verified,
Neo4j,Developer & Infra,Graph database; programmatic access is via the Bolt protocol/drivers rather than a general REST API.,"Basic Auth / Bearer (drivers), API Key (Aura management API)",freemium_signup,Free AuraDB Free tier self-created instantly; connection credentials available immediately. The management/admin API for provisioning instances also self-serve via API key.,True,True,False,"Python, Java, JS, Go, .NET","broad (as a database, not a typical SaaS API)",True,True,True,Neo4j publishes an official MCP server for querying via Cypher.,Medium,"Primary access pattern is a database driver protocol (Bolt/Cypher), not a typical REST endpoint, so integration effort differs from most other rows even though it is self-serve.",https://neo4j.com/docs/aura/,78,agent_verified,
Snowflake,Developer & Infra,Cloud data warehouse with SQL API and increasingly agent-oriented Cortex features.,"Key-pair (JWT), OAuth2, Basic Auth (username/password, discouraged)",freemium_signup,"Free 30-day trial account with credits; SQL API access configured self-serve via key-pair auth, no manual approval.",True,False,False,"Python, Java, Node, Go",broad,True,True,True,Snowflake publishes an official Cortex/Snowflake MCP server.,Easy,,https://docs.snowflake.com/en/developer-guide/sql-api/index,85,agent_verified,
MongoDB Atlas,Developer & Infra,"Managed MongoDB cloud platform, with both a database driver interface and an Atlas Administration API.","Digest Auth (API keys) for Admin API, SCRAM/X.509 for database driver",open,"Free M0 cluster self-created instantly; Atlas Admin API keys self-generated in Organization Access Manager, no approval.",True,False,True,every major language (drivers),broad,True,True,True,MongoDB publishes an official MCP server.,Easy,,https://www.mongodb.com/docs/atlas/reference/api-resources-spec/,90,agent_verified,
Datadog,Developer & Infra,"Observability platform (metrics, logs, traces, monitors) with a comprehensive API.",API Key + Application Key,freemium_signup,Free-tier trial; API key and App key self-generated instantly in Organization Settings.,True,False,True,every major language,broad,True,True,True,Datadog publishes an official MCP server.,Easy,,https://docs.datadoghq.com/api/latest/,93,agent_verified,
Sentry,Developer & Infra,Error-tracking/application-monitoring platform.,"Bearer Token (Auth Token), OAuth2",open,Free developer tier; Auth Token self-generated instantly in Settings > Auth Tokens.,True,False,True,every major language,broad,True,True,True,Sentry publishes an official MCP server.,Easy,,https://docs.sentry.io/api/,93,agent_verified,
Notion,Productivity & PM,Docs/wiki/database workspace with a widely-used public API and integration ecosystem.,"OAuth2 (public integrations), Internal Integration Token",open,Free personal workspace; Internal Integration token self-generated instantly at notion.so/my-integrations.,True,False,True,JS/TS,broad,True,True,True,Notion publishes an official MCP server.,Easy,,https://developers.notion.com/docs/getting-started,96,agent_verified,
Airtable,Productivity & PM,Spreadsheet-database hybrid with a very developer-friendly REST API.,"Personal Access Token, OAuth2",open,Free-tier account; PAT self-generated instantly at airtable.com/create/tokens.,True,False,True,JS,broad,True,True,True,Airtable publishes an official MCP server.,Easy,,https://airtable.com/developers/web/api/introduction,95,agent_verified,
Linear,Productivity & PM,"Issue-tracking tool built for fast-moving software teams, GraphQL-first API.","OAuth2, Personal API Key",open,Free-tier workspace; Personal API key self-generated instantly in Settings > API.,False,True,True,TS SDK,broad,True,True,True,Linear publishes an official MCP server.,Easy,,https://developers.linear.app/docs/graphql/working-with-the-graphql-api,93,agent_verified,
